lon,lat,E,N,H
101.1447466,12.64580138,732954.17,1398921.61,-6.13
101.1447123,12.6456079,732950.62,1398900.17,-6.12
101.1450077,12.6447807,732983.47,1398808.9,-6.41
101.1451892,12.64487837,733003.11,1398819.87,-6.36
101.1453297,12.64434748,733018.86,1398761.25,-6.36
101.1452262,12.64471405,733007.27,1398801.72,-6.31
101.1453382,12.64401683,733020.08,1398724.67,-6.29
101.145253,12.64416428,733010.69,1398740.91,-6.28
101.145261,12.64452535,733011.23,1398780.87,-6.27
101.1451299,12.64470995,732996.82,1398801.18,-6.24
101.1452322,12.6443423,733008.27,1398760.59,-6.23
101.1451487,12.64452616,732999.02,1398780.86,-6.2
101.1450897,12.64487186,732992.3,1398819.06,-6.19
101.1450058,12.64494275,732983.12,1398826.83,-6.17
101.1451343,12.64503823,732996.99,1398837.51,-6.13
101.1450077,12.64518602,732983.1,1398853.75,-6.03
101.1456797,12.64343471,733057.71,1398660.56,-6.48
101.1455855,12.64343438,733047.48,1398660.44,-6.46
101.1453568,12.64416155,733021.97,1398740.7,-6.35
101.1454882,12.64385314,733036.53,1398706.69,-6.31
101.1457052,12.64326677,733060.64,1398642,-6.3
101.1456232,12.6437896,733051.25,1398699.78,-6.3
101.14548,12.6437303,733035.75,1398693.09,-6.23
101.1455804,12.64359258,733046.78,1398677.94,-6.22
101.1454228,12.64435297,733028.97,1398761.94,-6.2
101.1454592,12.64407388,733033.17,1398731.09,-6.17
101.1454775,12.64396248,733035.26,1398718.78,-6.07
101.1454361,12.64421577,733030.54,1398746.77,-6.06
101.1459942,12.64270947,733092.55,1398580.59,-6.76
101.1459978,12.64247529,733093.15,1398554.68,-6.76
101.1458817,12.64300481,733080.06,1398613.17,-6.63
101.1458597,12.64279975,733077.85,1398590.46,-6.6
101.1457738,12.64289154,733068.43,1398600.54,-6.54
101.1457758,12.64307407,733068.49,1398620.74,-6.5
101.1458329,12.64326882,733074.51,1398642.34,-6.5
101.1458647,12.64290689,733078.3,1398602.32,-6.41
101.1458908,12.64270714,733081.31,1398580.24,-6.32
101.1463838,12.64141293,733136.06,1398437.47,-6.99
101.1462654,12.64163231,733123,1398461.64,-6.77
101.1463082,12.6421517,733127.17,1398519.15,-6.75
101.1460967,12.64215024,733104.19,1398518.8,-6.75
101.1463778,12.64150534,733135.32,1398447.69,-6.72
101.1463653,12.64164181,733133.84,1398462.78,-6.7
101.1462433,12.64195973,733120.3,1398497.85,-6.65
101.1460991,12.6424714,733104.16,1398554.34,-6.62
101.1462335,12.64179054,733119.39,1398479.12,-6.61
101.1463812,12.64189906,733135.34,1398491.26,-6.58
101.1463837,12.6417906,733135.71,1398479.26,-6.57
101.1461272,12.64234104,733107.33,1398539.94,-6.55
101.1462071,12.64214935,733116.19,1398518.8,-6.45
101.1460894,12.64271693,733102.89,1398581.5,-6.35
101.1467816,12.64035473,733180.25,1398320.73,-7.05
101.1466868,12.64070749,733169.63,1398359.68,-7.03
101.1465427,12.6410827,733153.63,1398401.07,-6.94
101.1465664,12.64144309,733155.87,1398440.97,-6.79
101.1466011,12.64122474,733159.84,1398416.84,-6.76
101.1466453,12.64108413,733164.77,1398401.32,-6.76
101.1467076,12.64089276,733171.72,1398380.2,-6.75
101.1465087,12.64122748,733149.8,1398417.06,-6.67
101.1464943,12.64161719,733147.88,1398460.17,-6.63
101.1470269,12.63981215,733207.4,1398260.91,-7.58
101.1471017,12.64016246,733215.21,1398299.74,-7.41
101.1468756,12.64016148,733190.64,1398299.43,-7.41
101.1468893,12.6403525,733191.95,1398320.58,-7.33
101.1468966,12.64052054,733192.59,1398339.18,-7.33
101.1468116,12.64082885,733183.08,1398373.22,-7.13
101.1469772,12.64016229,733201.68,1398299.61,-7.08
101.1471251,12.63980846,733218.07,1398260.59,-7.08
101.1470567,12.63997982,733210.48,1398279.49,-7.06
101.1467937,12.64052064,733181.41,1398339.1,-7.03
101.1469893,12.64035233,733202.82,1398320.65,-6.88
101.1468096,12.64070677,733182.97,1398359.71,-6.75
101.1474466,12.63889447,733253.84,1398159.74,-7.94
101.1472445,12.63935853,733231.45,1398210.91,-7.81
101.1475083,12.63907047,733260.38,1398179.27,-7.78
101.1473932,12.63907899,733247.86,1398180.11,-7.71
101.1474669,12.63926511,733255.7,1398200.77,-7.71
101.1472465,12.63954161,733231.5,1398231.17,-7.65
101.1471541,12.63945153,733221.55,1398221.12,-7.64
101.1473661,12.63926818,733244.75,1398201.02,-7.62
101.1472507,12.63925772,733232.22,1398199.76,-7.58
101.1471818,12.6396166,733224.41,1398239.41,-7.5
101.1472784,12.63944872,733235.05,1398220.92,-7.48
101.1471638,12.63997859,733222.12,1398279.45,-7.35
101.147263,12.63967116,733233.18,1398245.52,-7.33
101.1478448,12.63799261,733297.93,1398060.3,-8.86
101.147764,12.63833875,733288.83,1398098.53,-8.81
101.1477531,12.63799922,733287.95,1398060.95,-8.79
101.1477935,12.63817548,733292.18,1398080.49,-8.62
101.1476909,12.63821679,733281,1398084.97,-8.36
101.1477061,12.63846664,733282.42,1398112.63,-8.36
101.147666,12.63832797,733278.19,1398097.25,-8.35
101.1476696,12.63872007,733278.23,1398140.64,-8.19
101.1478567,12.63834984,733298.89,1398099.84,-8.17
101.147554,12.63853239,733265.83,1398119.77,-8.11
101.147697,12.63856016,733281.35,1398122.97,-7.96
101.1475741,12.63871668,733267.85,1398140.18,-7.87
101.1476059,12.63889545,733271.14,1398159.99,-7.78
101.1482313,12.63692554,733340.89,1397942.57,-11.78
101.1481866,12.63708297,733335.89,1397959.95,-11.22
101.1481324,12.63716004,733329.93,1397968.43,-11.08
101.1481407,12.63725044,733330.75,1397978.44,-10.43
101.1481557,12.63734114,733332.3,1397988.49,-10.29
101.1481422,12.63743162,733330.75,1397998.49,-10.03
101.1480476,12.63742958,733320.47,1397998.18,-9.88
101.1481266,12.63752329,733328.97,1398008.62,-9.81
101.147997,12.63763803,733314.79,1398021.2,-9.5
101.1480978,12.63762908,733325.75,1398020.3,-9.39
101.1479715,12.63780072,733311.87,1398039.18,-9.34
101.1478756,12.63780267,733301.44,1398039.31,-9.03
101.1479618,12.6379866,733310.64,1398059.74,-8.8
101.1479187,12.63817592,733305.79,1398080.65,-8.52
101.1484122,12.63654227,733360.9,1397900.32,-12.54
101.1485459,12.63599995,733375.92,1397840.43,-12.41
101.1485551,12.63620764,733376.73,1397863.42,-12.4
101.1485093,12.63654627,733371.45,1397900.85,-12.22
101.1483465,12.63672562,733353.59,1397920.55,-12.21
101.1484027,12.63692742,733359.52,1397942.93,-12.15
101.1484877,12.63637031,733369.26,1397881.36,-12.13
101.1484409,12.63672187,733363.86,1397920.22,-12.12
101.148336,12.63708927,733352.12,1397960.78,-11.3
101.1482622,12.63724422,733343.96,1397977.86,-10.93
101.1486007,12.63629096,733381.61,1397872.68,-12.43
101.1487871,12.63562947,733402.47,1397799.65,-12.43
101.1489404,12.63532079,733419.41,1397765.63,-12.39
101.1486909,12.63600177,733391.67,1397840.76,-12.28
101.1487672,12.63581236,733400.14,1397819.87,-12.27
101.1486488,12.63620228,733386.92,1397862.91,-12.21
101.1485998,12.63607968,733381.71,1397849.3,-12.19
101.1489031,12.63563007,733415.07,1397799.82,-12.12
101.1488415,12.63545037,733408.54,1397779.88,-12.12
101.1486107,12.63639092,733382.61,1397883.75,-12.09
101.1491655,12.63473228,733444.4,1397700.71,-12.75
101.1492687,12.63438632,733455.93,1397662.52,-12.66
101.1492164,12.63455465,733450.09,1397681.1,-12.58
101.1490467,12.63487567,733431.36,1397716.47,-12.54
101.1490836,12.63509362,733435.17,1397740.62,-12.5
101.1490574,12.63473614,733432.65,1397701.04,-12.45
101.1492592,12.63473424,733454.58,1397701.01,-12.44
101.1491266,12.63492671,733440,1397722.19,-12.44
101.1490374,12.63498292,733430.25,1397728.33,-12.44
101.1489676,12.63509094,733422.57,1397740.22,-12.42
101.1490313,12.63528789,733429.31,1397762.07,-12.33
101.1490152,12.63516963,733427.67,1397748.97,-12.27
101.1490001,12.63545207,733425.77,1397780.21,-12.16
101.1495904,12.63343238,733491.75,1397557.25,-13.2
101.1495633,12.63361362,733488.65,1397577.28,-13.16
101.1494708,12.63382204,733478.41,1397600.26,-13.09
101.1495284,12.63398632,733484.51,1397618.49,-13.08
101.1494757,12.63406139,733478.72,1397626.75,-13.06
101.1493722,12.6341751,733467.37,1397639.24,-13.03
101.1495818,12.63381861,733490.47,1397599.98,-13
101.1494137,12.63398842,733472.05,1397618.62,-12.99
101.1493816,12.63437899,733468.21,1397661.81,-12.96
101.14948,12.63419195,733479.07,1397641.2,-12.87
101.1493788,12.63455822,733467.74,1397681.64,-12.64
101.1498821,12.63313976,733523.72,1397525.13,-13.61
101.1499705,12.63254241,733533.87,1397459.11,-13.53
101.1499127,12.63274106,733527.41,1397481.04,-13.4
101.150012,12.63237055,733538.53,1397440.13,-13.37
101.1500047,12.63273056,733537.41,1397479.96,-13.36
101.1499988,12.63288758,733536.63,1397497.33,-13.34
101.1498813,12.63296715,733523.79,1397506.03,-13.32
101.1498759,12.63283426,733523.32,1397491.32,-13.28
101.1497127,12.63361991,733504.87,1397578.11,-13.24
101.1496972,12.63343559,733503.36,1397557.7,-13.23
101.1497489,12.63326907,733509.13,1397539.32,-13.18
101.1497906,12.63342706,733513.52,1397556.84,-13.18
101.1498833,12.63324015,733523.76,1397536.24,-13.17
101.1498238,12.63306965,733517.45,1397517.32,-13.04
101.1503864,12.63163552,733579.89,1397359.13,-13.84
101.150293,12.63183572,733569.56,1397381.2,-13.77
101.1501497,12.63237568,733553.49,1397440.82,-13.52
101.1502445,12.63237925,733563.79,1397441.3,-13.48
101.1502345,12.6320089,733563.04,1397400.31,-13.46
101.1503835,12.63181023,733579.41,1397378.46,-13.44
101.1501646,12.63218171,733555.29,1397419.37,-13.42
101.1500991,12.63255376,733547.83,1397460.48,-13.37
101.1503381,12.6321673,733574.16,1397417.93,-13.36
101.1507406,12.63058508,733619.33,1397243.21,-14.05
101.1507209,12.63073607,733617.05,1397259.9,-13.99
101.150613,12.63107827,733605.02,1397297.67,-13.93
101.1506395,12.63092976,733608.03,1397281.26,-13.83
101.150398,12.63152951,733581.24,1397347.41,-13.8
101.1507068,12.63107471,733615.22,1397297.36,-13.72
101.1504156,12.63172412,733582.98,1397368.96,-13.69
101.1505947,12.63145563,733602.69,1397339.41,-13.66
101.1504756,12.63145388,733589.75,1397339.11,-13.65
101.1504806,12.63163892,733590.12,1397359.59,-13.6
101.1505941,12.63130074,733602.76,1397322.27,-13.57
101.1504135,12.63194754,733582.55,1397393.68,-13.54
101.1508679,12.6309065,733632.87,1397278.89,-14.48
101.1510374,12.63003015,733652.09,1397182.07,-14.15
101.1508188,12.63042494,733627.98,1397225.56,-14.13
101.1510236,12.63037196,733650.28,1397219.88,-14.13
101.1509528,12.63020398,733642.74,1397201.23,-14.07
101.1508183,12.63052318,733627.83,1397236.43,-14.03
101.1510747,12.63020508,733655.99,1397201.46,-14.01
101.1509315,12.63037369,733640.27,1397219.99,-14
101.1509822,12.63058521,733645.59,1397243.44,-13.98
101.1508257,12.63063238,733628.54,1397248.52,-13.93
101.1509266,12.63073233,733639.41,1397259.67,-13.89
101.1508316,12.63074349,733629.08,1397260.82,-13.83
101.1507727,12.6308957,733622.54,1397277.61,-13.71
101.1514677,12.62891908,733699.86,1397059.51,-15.07
101.1511718,12.62964363,733667.05,1397139.42,-14.52
101.1514577,12.6291272,733698.58,1397082.53,-14.43
101.1513323,12.62912586,733684.96,1397082.27,-14.43
101.1513042,12.62935346,733681.7,1397107.43,-14.35
101.1513195,12.62972748,733683.02,1397148.83,-14.34
101.1512378,12.62983975,733674.04,1397161.18,-14.31
101.151425,12.62926862,733694.9,1397098.15,-14.3
101.151131,12.62983943,733662.44,1397161.05,-14.26
101.1512594,12.62948721,733676.71,1397122.19,-14.22
101.1514198,12.62949396,733694.13,1397123.08,-14.12
101.1512151,12.63002573,733671.4,1397181.74,-14.11
101.1513572,12.62964223,733687.19,1397139.43,-14.08
101.1518109,12.62801585,733737.98,1396959.87,-15.89
101.1515878,12.628556,733713.24,1397019.44,-15.74
101.1518143,12.62821771,733738.16,1396982.21,-15.62
101.15174,12.62845238,733729.88,1397008.11,-15.59
101.1517142,12.62824889,733727.26,1396985.57,-15.57
101.1517864,12.62837139,733734.99,1396999.19,-15.47
101.1516378,12.62837223,733718.84,1396999.15,-15.38
101.1517773,12.62857887,733733.81,1397022.14,-15.03
101.1516823,12.6285518,733723.51,1397019.06,-15.01
101.1516647,12.62890909,733721.28,1397058.58,-14.97
101.1517013,12.62874134,733725.41,1397040.05,-14.87
101.151532,12.6287465,733707,1397040.47,-14.87
101.1515702,12.62891464,733711,1397059.11,-14.65
101.1515197,12.62927346,733705.19,1397098.77,-14.44
101.152196,12.62738575,733780.4,1396890.49,-16.41
101.1521403,12.62748091,733774.26,1396900.97,-16.39
101.1521899,12.62718011,733779.92,1396867.73,-16.38
101.1521347,12.62767236,733773.48,1396922.15,-16.11
101.1519898,12.62748691,733757.9,1396901.5,-16.09
101.1520522,12.62783849,733764.36,1396940.46,-16.05
101.1521921,12.62728619,733780.07,1396879.47,-15.96
101.1519594,12.62784132,733754.27,1396940.69,-15.93
101.151891,12.62837181,733746.36,1396999.33,-15.91
101.152201,12.62757531,733780.77,1396911.47,-15.88
101.1520066,12.62766969,733759.56,1396921.74,-15.86
101.1519338,12.62802426,733751.32,1396960.91,-15.75
101.1524355,12.62674642,733807.01,1396819.96,-16.4
101.1523754,12.62709032,733800.16,1396857.96,-16.33
101.1525314,12.62639311,733817.75,1396780.95,-16.32
101.1525492,12.62674361,733819.36,1396819.75,-16.27
101.1523624,12.62691718,733798.91,1396838.79,-16.24
101.1524718,12.62657253,733811.11,1396800.75,-16.2
101.1522463,12.62709471,733786.13,1396858.33,-16.13
101.1523186,12.62675044,733794.3,1396820.3,-16.1
101.1523099,12.62726734,733792.88,1396877.49,-15.96
101.1522531,12.62748189,733786.52,1396901.18,-15.84
101.1527552,12.62567601,733842.72,1396701.8,-16.72
101.152617,12.62603608,733827.38,1396741.52,-16.62
101.1526665,12.62594721,733832.84,1396731.73,-16.56
101.1528013,12.62549228,733847.9,1396681.51,-16.56
101.1526464,12.62612224,733830.49,1396751.08,-16.49
101.152821,12.62583734,733849.73,1396719.71,-16.48
101.1525664,12.62621244,733821.72,1396760.99,-16.45
101.1528606,12.62567842,733854.17,1396702.16,-16.44
101.152685,12.62584106,733834.94,1396720,-16.42
101.1529162,12.62583467,733860.07,1396719.5,-16.34
101.1527127,12.6260364,733837.78,1396741.64,-16.32
101.1526263,12.62628625,733828.16,1396769.21,-16.3
101.1526292,12.62644808,733828.33,1396787.12,-16.12
101.1526871,12.6262065,733834.84,1396760.44,-16.12
101.1531958,12.62462812,733891.56,1396586.24,-17.2
101.1532297,12.62442261,733895.43,1396563.53,-17.16
101.1531155,12.6247139,733882.75,1396595.66,-17.12
101.1531402,12.62507618,733885.11,1396635.77,-17.1
101.1531056,12.6248152,733881.58,1396606.86,-17.08
101.1532034,12.62479209,733892.23,1396604.39,-17.02
101.1531303,12.62496194,733884.13,1396623.12,-17
101.1531006,12.62514094,733880.74,1396642.9,-16.95
101.1529881,12.62513407,733868.52,1396642.04,-16.91
101.153045,12.62520347,733874.64,1396649.77,-16.89
101.1530184,12.62548501,733871.5,1396680.9,-16.78
101.1530233,12.62529564,733872.2,1396659.95,-16.75
101.1529567,12.62567583,733864.62,1396701.96,-16.69
101.1531344,12.6252464,733884.32,1396654.6,-16.68
101.1529251,12.62548938,733861.36,1396681.3,-16.46
101.1535787,12.6238594,733933.86,1396501.52,-17.78
101.1535868,12.6235631,733935.01,1396468.74,-17.65
101.1535844,12.62367003,733934.66,1396480.57,-17.52
101.1535735,12.62396581,733933.2,1396513.29,-17.52
101.1535817,12.62375355,733934.29,1396489.81,-17.47
101.1534796,12.6238828,733923.08,1396504.02,-17.34
101.1533457,12.62464191,733907.83,1396587.9,-17.32
101.1535713,12.62409687,733932.85,1396527.79,-17.29
101.1533673,12.62407538,733910.7,1396525.23,-17.28
101.1534515,12.62407271,733919.85,1396525.01,-17.25
101.153311,12.62424844,733904.42,1396544.33,-17.25
101.1534826,12.62425167,733923.07,1396544.84,-17.21
101.1533986,12.62424891,733913.94,1396544.46,-17.21
101.153329,12.62442832,733906.21,1396564.25,-17.2
101.1534106,12.62442495,733915.08,1396563.95,-17.19
101.1532998,12.62478796,733902.71,1396604.02,-17.01
101.153924,12.62297839,733972.19,1396404.34,-17.42
101.1539424,12.62280165,733974.35,1396384.8,-17.41
101.1537104,12.62332415,733948.66,1396442.41,-17.37
101.1538365,12.62313119,733962.54,1396421.17,-17.36
101.1538215,12.62333573,733960.73,1396443.79,-17.36
101.1539131,12.62313364,733970.87,1396421.51,-17.36
101.1536685,12.62352692,733943.93,1396464.81,-17.32
101.1537817,12.62351896,733956.23,1396464.03,-17.32
101.1537101,12.62368637,733948.3,1396482.49,-17.32
101.1538559,12.62352171,733964.3,1396464.4,-17.31
101.1540373,12.62254821,733984.9,1396356.84,-18.03
101.1540388,12.62265809,733984.96,1396369,-17.82
101.1540423,12.62306139,733984.97,1396413.63,-17.66
101.1540404,12.62283873,733984.97,1396388.99,-17.55
101.1540415,12.62297165,733984.97,1396403.7,-17.51
101.1542826,12.62244971,734011.64,1396346.16,-17.38
101.1541363,12.62243851,733995.75,1396344.79,-17.37
101.1541736,12.62259491,733999.66,1396362.13,-17.35
101.1394521,12.65855567,732367.318,1400328.206,6.82
101.1394514,12.65855561,732367.236,1400328.198,5.959
101.1395169,12.65849079,732374.417,1400321.084,6.807
101.1395165,12.6584905,732374.373,1400321.052,5.772
101.139502,12.65847601,732372.805,1400319.435,5.907
101.1395818,12.65842703,732381.524,1400314.087,6.841
101.139581,12.6584268,732381.433,1400314.061,5.753
101.1395607,12.65840608,732379.248,1400311.75,5.712
101.1396465,12.65836312,732388.611,1400307.072,6.802
101.139646,12.65836263,732388.56,1400307.018,5.891
101.1396169,12.65833351,732385.42,1400303.77,5.592
101.1397102,12.65829815,732395.591,1400299.94,6.824
